"ID","SUBMITDATE","STARTLANGUAGE","397467X2X4SQ001","397467X2X6","397467X2X18SQ001","397467X2X20SQ001","397467X2X221","397467X2X222","397467X2X223","397467X2X225","397467X2X224","397467X2X781","397467X2X788","397467X2X782","397467X2X786","397467X2X784","397467X2X785","397467X2X783","397467X2X7811","397467X2X787","397467X2X789","397467X2X7810","397467X2X92","397467X2X93SQ001","397467X2X95","397467X2X96","397467X2X97","397467X2X33SQ001","397467X3X39","397467X3X50SQ001","397467X3X50SQ002","397467X3X50SQ003","397467X3X50SQ004","397467X3X247","397467X3X248","397467X3X249","397467X3X601","397467X3X602","397467X3X603","397467X3X604","397467X3X605","397467X3X606","397467X3X607","397467X3X608","397467X3X609","397467X3X6010","397467X3X6011","397467X3X55SQ001","397467X3X57SQ001","397467X3X401","397467X3X402","397467X3X404","397467X3X406","397467X3X407","397467X3X408","397467X3X409","397467X1X1","397467X1X2","397467X1X3","397467X1X3OTHER","397467X1X98","397467X1X100","397467X1X99","397467X1X179","397467X1X180"
"73","01-01-1980 00:00:00","en","6","2","5","8","3","3","3","3","2","5","5",,"5","1","4","4","1","5","4","1","1","10","4","1","1","7","2","2","2","3","1","4","2","4","5","3","6","3","6","3","6",,"2","7","4","10","5","3","3","2","4","4","3","4","1","1989.0000000000",,"rural","9","1",,"1","Youth For Future"
"75","01-01-1980 00:00:00","en","8","2","5","5","3","3","4","3","3","5","5","1","1","1","1","1","1","1","5","1","1","10","2","1","1","3","3","3","2","3","2","3","2","3","10","7","10","10","6","10","10","10","10",,"5","10","2","1","1","5","1",,"8","1","1","1985.0000000000","A1","city",,,,,"Sacita"
"76","01-01-1980 00:00:00","en","10","2","10","5","2","4","3","3","3","5","6","4","1","1","1","1","1","1","4","1","1","10","2","1","1","3","2","4","2","3","1","3","2","1","10","3","10","10","10","10","10","8","7","10","6","10","3","1","1","5","1","2","9","5","1","1986.0000000000",,"city",,,,,"Sacita"
"77","01-01-1980 00:00:00","en","1","1","1","1","3","2","4","4","3","5","8","9","1","1","1","1","1","1","1","1","1","10","2","1","1","1","2","2","3","1","3","3","3","1","8","6","5","9","3","6","9","9","4","10","10","5","7",,,,,"4",,,"1","1988.0000000000","A1","city",,,,,
"78","01-01-1980 00:00:00","en","10","2","5","4","1","2","2","2","2","2","1","5","1","1","1","2","1","1","1","1","1","10","2","1","1","10","2","1","4","4","2",,"1","4","7","4","6","9","7","9","9","7","8","9","9","8","7","1","1","3","3","1","3","3","1","1994.0000000000","A1","city","7","2","1","1","Iman"
"79","01-01-1980 00:00:00","en","10","2","5","5","1","2","3","3","2","1","1","1","2","1","1","1","1","1","10","1","1","10","4","1","1","5","2","1",,,,"3","4","3","10","1","10","10","1","10","10","1","1","1","10","10","10","1",,"1","1","1","10","10","1","1984.0000000000","A1","city","7","2","1","1","Iman"
"80","01-01-1980 00:00:00","en",,"2","10","10","4","3","3","3","3","10","1","3","1","1","1","10","1","1",,"1","1","10","3","1","1","10","2","1","4","3","2","3","4","4","1","1","1","10","1","10","1","1","3","1","1","1","1","1","1","1",,,,,"1","1974.0000000000","A3","city","9","2","1","1","Iman"
"81","01-01-1980 00:00:00","en","10","2","10","7","1","2","3","3","2","1","2","9","1","1","1","3","1","1","1","1","1","10","2","1","1","10","1","4","4","4","1","1","1","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Iman"
"82","01-01-1980 00:00:00","en","10","2","6","4","1","2","2","3","2","1","5","2","1","1","1","1","1","1","1","1","1","10","1","1","1","9","1","4","4","4","1","1","1","4","3","4","1","1","7","1","1","1","1","1","2","10","10","1","1","1","1","2","1","1","1","1992.0000000000","A1","city","9","1","2","1","Iman"
"83","01-01-1980 00:00:00","en","10","2","5","10","1",,,,,,,,,,,,,,,,"1","10","2","1","1","10","1","1",,,,"4","4","2",,,,,,,,,,,,"1","1","1",,,,,,,"1","1990.0000000000","A1","city","7","1","2","1","Iman"
"84","01-01-1980 00:00:00","en","10","2","5","1","1",,,,,,,"1","1",,"1",,"1","1",,"1","1","10","1","1","1","5","1","1",,"3","1","3","2","4","2","10",,,,,,,,"6","1","10","10","1","1","1","5",,"5","6","1","1982.0000000000","A1","city","9","2","2","1","Iman"
